客户ID,订单日期,订单金额,商品类别
C027,2023-08-05,234.50,服装
C027,2023-07-22,178.70,家居用品
C027,2023-07-08,345.80,食品
C027,2023-06-24,267.60,电子产品
C028,2022-08-15,9012.80,电子产品
C029,2023-12-31,189.70,服装
C029,2023-12-29,345.80,家居用品
C029,2023-12-25,267.90,食品
C029,2023-12-12,156.60,电子产品
C029,2023-11-28,234.70,服装
C029,2023-11-14,178.80,家居用品
C029,2023-10-31,456.50,食品
C029,2023-10-17,123.90,电子产品
C029,2023-10-03,345.60,服装
C029,2023-09-19,189.40,家居用品
C029,2023-09-05,267.80,食品
C029,2023-08-22,156.70,电子产品
C029,2023-08-08,234.90,服装
C029,2023-07-25,178.50,家居用品
C029,2023-07-11,345.70,食品
C029,2023-06-27,267.80,电子产品
C029,2023-06-13,189.60,服装
C030,2022-07-20,10123.90,电子产品
C031,2023-12-30,345.80,服装
C031,2023-12-26,189.70,家居用品
C031,2023-12-20,267.60,食品
C031,2023-12-06,156.80,电子产品
C031,2023-11-22,234.50,服装
C031,2023-11-08,178.90,家居用品
C031,2023-10-25,456.70,食品
C031,2023-10-11,123.80,电子产品
C031,2023-09-27,345.90,服装
C031,2023-09-13,189.50,家居用品
C031,2023-08-30,267.70,食品
C031,2023-08-16,156.60,电子产品
C031,2023-08-02,234.80,服装
C031,2023-07-19,178.40,家居用品
C031,2023-07-05,345.60,食品
C031,2023-06-21,267.90,电子产品
C031,2023-06-07,189.70,服装
C031,2023-05-24,156.80,家居用品
C032,2022-06-10,11234.50,电子产品
C033,2023-12-29,267.90,服装
C033,2023-12-24,345.60,家居用品
C033,2023-12-18,189.80,食品
C033,2023-12-04,156.70,电子产品
C033,2023-11-20,234.90,服装
C033,2023-11-06,178.50,家居用品
C033,2023-10-23,456.80,食品
C033,2023-10-09,123.70,电子产品
C033,2023-09-25,345.40,服装
C033,2023-09-11,189.60,家居用品
C033,2023-08-28,267.80,食品
C033,2023-08-14,156.90,电子产品
C033,2023-07-31,234.50,服装
C033,2023-07-17,178.70,家居用品
C033,2023-07-03,345.80,食品
C033,2023-06-19,267.60,电子产品
C033,2023-06-05,189.40,服装
C033,2023-05-22,156.80,家居用品
C033,2023-05-08,234.70,食品
C034,2022-05-15,12345.60,电子产品
C035,2023-12-28,189.80,服装
C035,2023-12-22,267.50,家居用品
C035,2023-12-16,345.70,食品
C035,2023-12-02,156.90,电子产品
C035,2023-11-18,234.60,服装
C035,2023-11-04,178.80,家居用品
C035,2023-10-21,456.50,食品
C035,2023-10-07,123.90,电子产品
C035,2023-09-23,345.70,服装
C035,2023-09-09,189.40,家居用品
C035,2023-08-26,267.60,食品
C035,2023-08-12,156.80,电子产品
C035,2023-07-29,234.90,服装
C035,2023-07-15,178.50,家居用品
C035,2023-07-01,345.60,食品
C035,2023-06-17,267.80,电子产品
C035,2023-06-03,189.70,服装
C035,2023-05-20,156.40,家居用品
C035,2023-05-06,234.80,食品
C035,2023-04-22,178.90,电子产品
C036,2022-04-20,13456.70,电子产品
C037,2023-12-27,267.60,服装
C037,2023-12-20,189.80,家居用品
C037,2023-12-14,345.50,食品
C037,2023-11-30,156.70,电子产品
C037,2023-11-16,234.80,服装
C037,2023-11-02,178.60,家居用品
C037,2023-10-19,456.90,食品
C037,2023-10-05,123.50,电子产品
C037,2023-09-21,345.80,服装
C037,2023-09-07,189.70,家居用品
C037,2023-08-24,267.40,食品
C037,2023-08-10,156.80,电子产品
C037,2023-07-27,234.60,服装
C037,2023-07-13,178.90,家居用品
C037,2023-06-29,345.70,食品
C037,2023-06-15,267.50,电子产品
C037,2023-06-01,189.80,服装
C037,2023-05-18,156.60,家居用品
C037,2023-05-04,234.70,食品
C037,2023-04-20,178.80,电子产品
C037,2023-04-06,345.90,服装
C038,2022-03-10,14567.80,电子产品
C039,2023-12-26,189.90,服装
C039,2023-12-18,267.70,家居用品
C039,2023-12-12,345.80,食品
C039,2023-11-28,156.50,电子产品
C039,2023-11-14,234.90,服装
C039,2023-10-31,178.70,家居用品
C039,2023-10-17,456.80,食品
C039,2023-10-03,123.60,电子产品
C039,2023-09-19,345.40,服装
C039,2023-09-05,189.80,家居用品
C039,2023-08-22,267.60,食品
C039,2023-08-08,156.90,电子产品
C039,2023-07-25,234.50,服装
C039,2023-07-11,178.80,家居用品
C039,2023-06-27,345.60,食品
C039,2023-06-13,267.90,电子产品
C039,2023-05-30,189.40,服装
C039,2023-05-16,156.70,家居用品
C039,2023-05-02,234.80,食品
C039,2023-04-18,178.50,电子产品
C039,2023-04-04,345.70,服装
C039,2023-03-21,267.80,家居用品
C040,2022-02-15,15678.90,电子产品
